TableName  COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
Drivers   EmergencyContactName                                                                                                             nvarchar                                                                                                                                              100 YES        
Drivers   EmergencyContactPhone                                                                                                            nvarchar                                                                                                                                               20 YES        
Drivers   Endorsements                                                                                                                     nvarchar                                                                                                                                              100 YES        
Drivers   MedicalRestrictions                                                                                                              nvarchar                                                                                                                                              100 YES        
Drivers   PhysicalExamDate                                                                                                                 datetime2                                                                                                                                            NULL YES        
Drivers   PhysicalExamExpiry                                                                                                               datetime2                                                                                                                                            NULL YES        
Drivers   BackgroundCheckDate                                                                                                              datetime2                                                                                                                                            NULL YES        
Drivers   BackgroundCheckExpiry                                                                                                            datetime2                                                                                                                                            NULL YES        
Drivers   DrugTestDate                                                                                                                     datetime2                                                                                                                                            NULL YES        
Drivers   DrugTestExpiry                                                                                                                   datetime2                                                                                                                                            NULL YES        
Drivers   CreatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Drivers   CreatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        
Drivers   UpdatedBy                                                                                                                        nvarchar                                                                                                                                              100 YES        
Drivers   UpdatedDate                                                                                                                      datetime2                                                                                                                                            NULL YES        

(35 rows affected)
TableName COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
--------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Fuel      FuelID                                                                                                                           int                                                                                                                                                  NULL NO         
Fuel      FuelLocation                                                                                                                     nvarchar                                                                                                                                              200 YES        
Fuel      VehicleFueledID                                                                                                                  int                                                                                                                                                  NULL YES        
Fuel      FuelType                                                                                                                         nvarchar                                                                                                                                               50 YES        
Fuel      FuelAmount                                                                                                                       float                                                                                                                                                NULL YES        
Fuel      FuelCost                                                                                                                         float                                                                                                                                                NULL YES        
Fuel      Notes                                                                                                                            nvarchar                                                                                                                                               -1 YES        
Fuel      Gallons                                                                                                                          decimal                                                                                                                                              NULL YES        
Fuel      PricePerGallon                                                                                                                   decimal                                                                                                                                              NULL YES        
Fuel      TotalCost                                                                                                                        decimal                                                                                                                                              NULL YES        
Fuel      FuelDate                                                                                                                         datetime2                                                                                                                                            NULL YES        
Fuel      VehicleOdometerReading                                                                                                           int                                                                                                                                                  NULL YES        

(12 rows affected)
TableName   COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
